"productCode","marketplace","msrp","crp","currencyCode","nikeSize","localizedSize","vendorSize","gtin","weightUnits","dimensionalUnits","grossPackageWeight","netWeight","dimensionalWeight","packageLength","packageWidth","packageHeight","packageQuantity","pid","skuId"
"CD4570-300","ZA",2799.95,2799.95,"ZAR","9","9","9","00193154366433","kg","cm",0.74,0.74,,33.5,20.7,11.5,,12789418,24121154
"CD4570-300","ZA",2799.95,2799.95,"ZAR","6","6","6","00193154366372","kg","cm",0.64,0.64,,33.5,20.7,11.5,,12789418,24121155
"CD4570-300","ZA",2799.95,2799.95,"ZAR","8","8","8","00193154366419","kg","cm",0.7,0.7,,33.5,20.7,11.5,,12789418,24121156
"CD4570-300","ZA",2799.95,2799.95,"ZAR","7","7","7","00193154366396","kg","cm",0.68,0.68,,33.5,20.7,11.5,,12789418,24121157
"CD4570-300","ZA",2799.95,2799.95,"ZAR","7.5","7.5","7.5","00193154366402","kg","cm",0.7,0.7,,33.5,20.7,11.5,,12789418,24121158
"CD4570-300","ZA",2799.95,2799.95,"ZAR","13","13","13","00193154366518","kg","cm",0.94,0.94,,36.4,23.8,12.7,,12789418,24121159
"CD4570-300","ZA",2799.95,2799.95,"ZAR","6.5","6.5","6.5","00193154366389","kg","cm",0.66,0.66,,33.5,20.7,11.5,,12789418,24121160
"CD4570-300","ZA",2799.95,2799.95,"ZAR","12","12","12","00193154366495","kg","cm",0.9,0.9,,36.4,23.8,12.7,,12789418,24121161
"CD4570-300","ZA",2799.95,2799.95,"ZAR","9.5","9.5","9.5","00193154366440","kg","cm",0.8,0.8,,34.3,23.5,12,,12789418,24121162
"CD4570-300","ZA",2799.95,2799.95,"ZAR","15","15","15","00193154366532","kg","cm",1.06,1.06,,38.3,24.2,13.5,,12789418,24121163
"CD4570-300","ZA",2799.95,2799.95,"ZAR","8.5","8.5","8.5","00193154366426","kg","cm",0.72,0.72,,33.5,20.7,11.5,,12789418,24121164
"CD4570-300","ZA",2799.95,2799.95,"ZAR","14","14","14","00193154366525","kg","cm",0.94,0.94,,38.3,24.2,13.5,,12789418,24121165
"CD4570-300","ZA",2799.95,2799.95,"ZAR","11","11","11","00193154366471","kg","cm",0.84,0.84,,36,23.7,12,,12789418,24121166
"CD4570-300","ZA",2799.95,2799.95,"ZAR","10","10","10","00193154366457","kg","cm",0.8,0.8,,34.3,23.5,12,,12789418,24121167
